# %ECSV 0.9
# ---
# datatype:
# - {name: name, datatype: string}
# - {name: hostname, datatype: string}
# - {name: ra, unit: deg, datatype: float64}
# - {name: dec, unit: deg, datatype: float64}
# - {name: period, unit: d, datatype: float64}
# - {name: semimajoraxis, unit: AU, datatype: float64}
# - {name: e, datatype: float64}
# - {name: omega, unit: deg, datatype: float64}
# - {name: inclination, unit: deg, datatype: float64}
# - {name: transit_epoch, unit: d, datatype: float64}
# - {name: transit_duration, unit: d, datatype: float64}
# - {name: transit_depth, datatype: float64}
# - {name: stellar_teff, unit: K, datatype: float64}
# - {name: stellar_radius, unit: solRad, datatype: float64}
# - {name: stellar_mass, unit: solMass, datatype: float64}
# - {name: stellar_age, unit: Gyr, datatype: float64}
# - {name: stellar_age_uncertainty_upper, unit: Gyr, datatype: float64}
# - {name: stellar_age_uncertainty_lower, unit: Gyr, datatype: float64}
# - {name: UJmag, datatype: float64}
# - {name: VJmag, datatype: float64}
# - {name: BJmag, datatype: float64}
# - {name: RCmag, datatype: float64}
# - {name: ICmag, datatype: float64}
# - {name: Jmag, datatype: float64}
# - {name: Hmag, datatype: float64}
# - {name: Kmag, datatype: float64}
# - {name: WISE1mag, datatype: float64}
# - {name: WISE2mag, datatype: float64}
# - {name: WISE3mag, datatype: float64}
# - {name: WISE4mag, datatype: float64}
# - {name: radius, unit: earthRad, datatype: float64}
# - {name: radius_uncertainty_upper, unit: earthRad, datatype: float64}
# - {name: radius_uncertainty_lower, unit: earthRad, datatype: float64}
# - {name: transit_ar, datatype: float64}
# - {name: transit_b, datatype: float64}
# - {name: rv_semiamplitude, datatype: float64}
# - {name: mass, unit: earthMass, datatype: float64}
# - {name: mass_uncertainty_upper, unit: earthMass, datatype: float64}
# - {name: mass_uncertainty_lower, unit: earthMass, datatype: float64}
# - {name: msini, unit: earthMass, datatype: float64}
# - {name: distance, unit: pc, datatype: float64}
# - {name: distance_uncertainty_upper, unit: pc, datatype: float64}
# - {name: distance_uncertainty_lower, unit: pc, datatype: float64}
# - {name: discoverer, datatype: string}
# - {name: method, datatype: string}
# - {name: has_transit, datatype: int32}
# - {name: has_RV, datatype: int32}
# schema: astropy-2.0
name hostname ra dec period semimajoraxis e omega inclination transit_epoch transit_duration transit_depth stellar_teff stellar_radius stellar_mass stellar_age stellar_age_uncertainty_upper stellar_age_uncertainty_lower UJmag VJmag BJmag RCmag ICmag Jmag Hmag Kmag WISE1mag WISE2mag WISE3mag WISE4mag radius radius_uncertainty_upper radius_uncertainty_lower transit_ar transit_b rv_semiamplitude mass mass_uncertainty_upper mass_uncertainty_lower msini distance distance_uncertainty_upper distance_uncertainty_lower discoverer method has_transit has_RV
"61 Vir d" "61 Vir" 199.601318 -18.311195 123.01 0.476 0.35 314.0 nan nan nan nan 5577.0 0.96 0.94 8.96 2.76 -3.08 5.71 4.74 5.45 4.33 3.97 3.334 2.974 2.956 2.144 2.791 3.091 2.986 nan inf inf nan nan 3.25 nan inf inf 22.9 8.51 0.02 -0.02 "Multiple Observatories" "Radial Velocity" 0 1
"7 CMa b" "7 CMa" 99.17099 -19.255878 735.1 1.758 0.06 165.3 90.0 nan nan nan 4826.0 4.87 1.34 4.3 0.9 -1.3 5.97 3.92 4.97 3.41 2.935 2.173 1.679 1.564 -0.682 -0.525 1.653 1.541 nan inf inf nan nan 34.3 nan inf inf 587.9855 19.82 0.16 -0.16 "Anglo-Australian Telescope" "Radial Velocity" 0 1
"7 CMa c" "7 CMa" 99.17099 -19.255878 996.0 2.153 0.08 233.5 90.0 nan nan nan 4826.0 4.87 1.34 4.3 0.9 -1.3 5.97 3.92 4.97 3.41 2.935 2.173 1.679 1.564 -0.682 -0.525 1.653 1.541 nan inf inf nan nan 14.9 nan inf inf 276.5121 19.82 0.16 -0.16 "Multiple Observatories" "Radial Velocity" 0 1
"70 Vir b" "70 Vir" 202.107544 13.778788 116.688 0.481 0.3988 359.83 nan nan nan nan 5495.0 1.89 1.09 7.92 inf inf 5.95 4.97 5.69 nan nan 3.798 3.457 3.5 2.49 2.951 3.257 3.186 nan inf inf nan nan 316.2 nan inf inf 2357.02728 17.91 0.06 -0.06 "Lick Observatory" "Radial Velocity" 0 1
"75 Cet b" "75 Cet" 38.039253 -1.034896 691.9 2.1 0.117 165.0 nan nan nan nan 4846.0 10.5 2.49 nan inf inf 7.21 5.35 6.37 nan nan 3.931 3.318 3.207 2.101 2.791 3.038 2.988 nan inf inf nan nan 38.3 nan inf inf 953.49 83.15 0.72 -0.72 "Okayama Astrophysical Observatory" "Radial Velocity" 0 1
"8 UMi b" "8 UMi" 224.201477 74.900925 93.4 0.49 0.06 nan nan nan nan nan 4847.0 10.3 1.44 1.7 inf inf nan 6.83 7.834 nan nan 5.069 4.749 4.515 nan nan nan nan nan inf inf nan nan 46.1 nan inf inf 416.3573 163.32 0.65 -0.65 "Bohyunsan Optical Astronomical Observatory" "Radial Velocity" 0 1
"81 Cet b" "81 Cet" 39.424168 -3.396175 952.7 2.5 0.206 175.0 nan nan nan nan 4785.0 11.0 2.4 nan inf inf 7.52 5.65 6.67 nan nan 3.94 3.386 3.266 3.313 3.036 3.297 3.242 nan inf inf nan nan 62.8 nan inf inf 1684.4 101.53 1.22 -1.22 "Okayama Astrophysical Observatory" "Radial Velocity" 0 1
"91 Aqr b" "91 Aqr" 348.9729 -9.087737 181.4 0.7 0.027 177.3 nan nan nan nan 4665.0 11.0 1.4 3.56 0.63 -0.63 6.37 4.25 5.36 3.67 3.175 2.263 1.69 1.597 -0.368 0.108 1.79 1.698 nan inf inf nan nan 91.5 nan inf inf 1017.0 44.08 0.51 -0.51 "Lick Observatory" "Radial Velocity" 0 1
"AB Pic b" "AB Pic" 94.803802 -58.05431 nan 260.0 nan nan nan nan nan nan 5378.0 1.0 0.9 0.03 inf inf nan 9.128 10.011 nan nan 7.576 7.088 6.981 6.897 6.888 6.858 6.829 nan inf inf nan nan nan 4290.5 158.9 -158.9 nan 50.12 0.07 -0.07 "Paranal Observatory" Imaging 0 0
"AU Mic b" "AU Mic" 311.289703 -31.340899 8.46321 0.066 0.1 nan nan 2458330.39153 0.1458333 nan 3700.0 0.75 0.5 0.022 0.003 -0.003 nan 8.81 10.21 7.81 6.59 5.436 4.831 4.529 4.449 4.008 4.313 4.14 4.203 0.202 -0.202 19.1 0.16 28.0 nan inf inf 57.2094 9.79 0.04 -0.04 "Transiting Exoplanet Survey Satellite (TESS)" Transit 1 1
